,Company,Pickup_date,Month,Year
0,Uber,1631058,1,2015
1,Uber,4301257,1,2016
2,Uber,1904215,2,2015
3,Uber,4827341,2,2016
4,Uber,2007563,3,2015
5,Uber,4949745,3,2016
6,Uber,2037349,4,2015
7,Uber,5103754,4,2016
8,Uber,2443707,5,2015
9,Uber,5391882,5,2016
10,Uber,2575022,6,2015
11,Uber,5358145,6,2016
12,Uber,2914145,7,2015
13,Uber,5899048,7,2016
14,Uber,3130271,8,2015
15,Uber,5893652,8,2016
16,Uber,3503951,9,2015
17,Uber,6481759,9,2016
18,Uber,4128640,10,2015
19,Uber,7007446,10,2016
20,Uber,3982187,11,2015
21,Uber,6973381,11,2016
22,Uber,4343818,12,2015
23,Uber,7880535,12,2016
24,Uber,7736951,1,2017
25,Uber,7244950,2,2017
26,Uber,8641848,3,2017
27,Uber,8181383,4,2017
28,Uber,8794695,5,2017
29,Uber,8898156,6,2017
30,Uber,8962215,7,2017
31,Uber,8992847,8,2017
32,Uber,9525248,9,2017
33,Uber,10135304,10,2017
34,Uber,10693287,11,2017
35,Uber,11836385,12,2017
36,Uber,11671765,1,2018
37,Uber,11506356,2,2018
38,Uber,13462091,3,2018
39,Uber,13222485,4,2018
40,Uber,13579992,5,2018
41,Uber,13267600,6,2018
42,Uber,14063243,7,2018
43,Uber,14060879,8,2018
44,Uber,14049967,9,2018
45,Uber,14663999,10,2018
46,Uber,14554993,11,2018
0,Lyft,564238,1,2016
1,Lyft,667927,2,2016
2,Lyft,691593,3,2016
3,Lyft,80746,4,2015
4,Lyft,810735,4,2016
5,Lyft,101151,5,2015
6,Lyft,996178,5,2016
7,Lyft,111581,6,2015
8,Lyft,1074722,6,2016
9,Lyft,195694,7,2015
10,Lyft,951743,7,2016
11,Lyft,320504,8,2015
12,Lyft,1096020,8,2016
13,Lyft,412702,9,2015
14,Lyft,1069371,9,2016
15,Lyft,437395,10,2015
16,Lyft,1113161,10,2016
17,Lyft,463600,11,2015
18,Lyft,1114328,11,2016
19,Lyft,623754,12,2015
20,Lyft,1275274,12,2016
21,Lyft,1287385,1,2017
22,Lyft,1621201,2,2017
23,Lyft,1925350,3,2017
24,Lyft,1767877,4,2017
25,Lyft,1936179,5,2017
26,Lyft,2011492,6,2017
27,Lyft,2286382,7,2017
28,Lyft,2398887,8,2017
29,Lyft,2529886,9,2017
30,Lyft,2904741,10,2017
31,Lyft,2692200,11,2017
32,Lyft,3031881,12,2017
33,Lyft,3141012,1,2018
34,Lyft,3144050,2,2018
35,Lyft,3471602,3,2018
36,Lyft,3332985,4,2018
37,Lyft,3400356,5,2018
38,Lyft,3664808,6,2018
39,Lyft,3632375,7,2018
40,Lyft,3936418,8,2018
41,Lyft,3960252,9,2018
42,Lyft,4246575,10,2018
43,Lyft,4195596,11,2018
0,Via,317836,1,2016
1,Via,374414,2,2016
2,Via,443213,3,2016
3,Via,117339,4,2015
4,Via,461599,4,2016
5,Via,125441,5,2015
6,Via,480633,5,2016
7,Via,160770,6,2015
8,Via,517964,6,2016
9,Via,180327,7,2015
10,Via,530664,7,2016
11,Via,206716,8,2015
12,Via,572674,8,2016
13,Via,225622,9,2015
14,Via,609590,9,2016
15,Via,271159,10,2015
16,Via,672668,10,2016
17,Via,265324,11,2015
18,Via,617927,11,2016
19,Via,274179,12,2015
20,Via,670633,12,2016
21,Via,719232,1,2017
22,Via,649054,2,2017
23,Via,728254,3,2017
24,Via,750114,4,2017
25,Via,854056,5,2017
26,Via,786935,6,2017
27,Via,904477,7,2017
28,Via,984296,8,2017
29,Via,926998,9,2017
30,Via,1051504,10,2017
31,Via,968057,11,2017
32,Via,1001294,12,2017
33,Via,1016794,1,2018
34,Via,928405,2,2018
35,Via,1027292,3,2018
36,Via,1003354,4,2018
37,Via,1011268,5,2018
38,Via,744501,6,2018
39,Via,852703,7,2018
40,Via,878956,8,2018
41,Via,940708,9,2018
42,Via,1072428,10,2018
43,Via,955964,11,2018
0,Juno,201,3,2016
1,Juno,5340,4,2016
2,Juno,38974,5,2016
3,Juno,210276,6,2016
4,Juno,394237,7,2016
5,Juno,470915,8,2016
6,Juno,526816,9,2016
7,Juno,633228,10,2016
8,Juno,655026,11,2016
9,Juno,656653,12,2016
10,Juno,684058,1,2017
11,Juno,722593,2,2017
12,Juno,823947,3,2017
13,Juno,768288,4,2017
14,Juno,747669,5,2017
15,Juno,627672,6,2017
16,Juno,669715,7,2017
17,Juno,946877,8,2017
18,Juno,1069736,9,2017
19,Juno,1162588,10,2017
20,Juno,1163709,11,2017
21,Juno,1296092,12,2017
22,Juno,1378191,1,2018
23,Juno,1329836,2,2018
24,Juno,1402393,3,2018
25,Juno,999872,4,2018
26,Juno,1244326,5,2018
27,Juno,1101655,6,2018
28,Juno,1018602,7,2018
29,Juno,1032199,8,2018
30,Juno,1029481,9,2018
31,Juno,1104745,10,2018
32,Juno,1048668,11,2018
